RESPNO,REGION,URBRUR,Q1,Q6A,Q6B,Q6C,Q6E,Q94,Q93A,Q100,Q90A,Q90B,Q90C,Q90D,Q90E,Q90F,food_insecurity_label,location_type,is_food_insecure
GHA1538,274.0,2.0,28.0,0.0,0.0,0.0,2.0,5.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,Never,Rural,0
GHA1539,267.0,1.0,40.0,0.0,1.0,1.0,4.0,2.0,0.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,Never,Urban,0
GHA1540,272.0,1.0,20.0,0.0,0.0,1.0,2.0,4.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0,Never,Urban,0
GHA1541,272.0,1.0,35.0,0.0,0.0,1.0,2.0,5.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,Never,Urban,0
GHA1542,261.0,2.0,40.0,0.0,0.0,3.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,Never,Rural,0
GHA1543,274.0,2.0,23.0,2.0,0.0,1.0,3.0,5.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,2.0,Several times,Rural,1
GHA1544,264.0,2.0,56.0,2.0,2.0,0.0,0.0,5.0,3.0,1.0,2.0,2.0,0.0,2.0,2.0,2.0,Several times,Rural,1
GHA1545,264.0,2.0,40.0,3.0,0.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,Many times,Rural,1
GHA1546,263.0,1.0,50.0,0.0,2.0,0.0,2.0,0.0,3.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,Never,Urban,0
GHA1547,264.0,2.0,31.0,0.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,Never,Rural,0
GHA1548,263.0,1.0,32.0,0.0,0.0,0.0,1.0,8.0,3.0,1.0,2.0,2.0,0.0,2.0,2.0,2.0,Never,Urban,0
GHA1549,267.0,2.0,28.0,0.0,0.0,0.0,2.0,5.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,Never,Rural,0
GHA1550,263.0,1.0,35.0,0.0,0.0,0.0,1.0,5.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,Never,Urban,0
GHA1551,267.0,2.0,46.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,Never,Rural,0
GHA1552,267.0,1.0,22.0,3.0,0.0,0.0,3.0,4.0,3.0,1.0,2.0,2.0,0.0,2.0,1.0,2.0,Many times,Urban,1
GHA1553,271.0,2.0,35.0,3.0,3.0,3.0,3.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,Many times,Rural,1
GHA1554,271.0,2.0,35.0,2.0,2.0,4.0,2.0,5.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,2.0,Several times,Rural,1
GHA1555,263.0,1.0,18.0,0.0,2.0,0.0,2.0,5.0,0.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,Never,Urban,0
GHA1556,267.0,2.0,30.0,0.0,2.0,1.0,0.0,3.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,2.0,Never,Rural,0
GHA1557,271.0,2.0,34.0,1.0,1.0,0.0,0.0,8.0,3.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,Once/Twice,Rural,1
GHA1558,263.0,1.0,24.0,3.0,2.0,2.0,3.0,5.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,Many times,Urban,1
GHA1559,263.0,1.0,35.0,0.0,0.0,0.0,0.0,5.0,3.0,1.0,2.0,2.0,0.0,2.0,2.0,2.0,Never,Urban,0
GHA1560,264.0,2.0,21.0,0.0,0.0,0.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,2.0,Never,Rural,0
GHA1561,263.0,1.0,66.0,0.0,1.0,1.0,3.0,2.0,0.0,1.0,2.0,9.0,9.0,9.0,9.0,1.0,Never,Urban,0
GHA1562,267.0,1.0,37.0,2.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,Several times,Urban,1
GHA1563,272.0,1.0,19.0,0.0,2.0,1.0,2.0,4.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,Never,Urban,0
GHA1564,272.0,1.0,37.0,0.0,0.0,2.0,3.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,Never,Urban,0
GHA1565,263.0,1.0,35.0,0.0,0.0,1.0,0.0,5.0,2.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,Never,Urban,0
GHA1566,267.0,2.0,32.0,0.0,0.0,0.0,0.0,6.0,3.0,1.0,2.0,2.0,0.0,2.0,2.0,2.0,Never,Rural,0
GHA1567,267.0,1.0,64.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,2.0,Never,Urban,0
GHA1568,272.0,1.0,23.0,0.0,0.0,0.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,0.0,1.0,2.0,Never,Urban,0
GHA1569,271.0,2.0,28.0,3.0,3.0,3.0,4.0,6.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,2.0,Many times,Rural,1
GHA1570,271.0,2.0,20.0,1.0,1.0,0.0,1.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,Once/Twice,Rural,1
GHA1571,271.0,2.0,52.0,2.0,4.0,4.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,Several times,Rural,1
GHA1572,272.0,1.0,26.0,0.0,0.0,2.0,2.0,5.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,Never,Urban,0
GHA1573,260.0,2.0,30.0,2.0,0.0,2.0,4.0,1.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,Several times,Rural,1
GHA1574,263.0,1.0,40.0,0.0,2.0,0.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,Never,Urban,0
GHA1575,263.0,1.0,48.0,0.0,0.0,0.0,1.0,5.0,3.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,Never,Urban,0
GHA1576,272.0,1.0,20.0,0.0,0.0,0.0,2.0,5.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,Never,Urban,0
GHA1577,266.0,1.0,46.0,0.0,0.0,0.0,1.0,5.0,3.0,1.0,2.0,2.0,0.0,2.0,2.0,2.0,Never,Urban,0
GHA1578,266.0,1.0,24.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,Once/Twice,Urban,1
GHA1579,263.0,1.0,47.0,0.0,0.0,0.0,1.0,6.0,3.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,Never,Urban,0
GHA1580,263.0,1.0,23.0,0.0,2.0,1.0,0.0,6.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,Never,Urban,0
GHA1581,266.0,1.0,27.0,1.0,2.0,0.0,2.0,5.0,2.0,1.0,2.0,2.0,1.0,0.0,2.0,2.0,Once/Twice,Urban,1
GHA1582,271.0,2.0,22.0,2.0,2.0,2.0,0.0,5.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,Several times,Rural,1
GHA1583,266.0,1.0,35.0,0.0,0.0,0.0,4.0,5.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,Never,Urban,0
GHA1584,271.0,2.0,18.0,2.0,3.0,4.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,Several times,Rural,1
GHA1585,262.0,2.0,46.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,Never,Rural,0
GHA1586,268.0,1.0,60.0,0.0,0.0,2.0,3.0,5.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,Never,Urban,0
GHA1587,262.0,2.0,40.0,0.0,2.0,0.0,0.0,5.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,Never,Rural,0
