RESPNO,REGION,URBRUR,Q1,Q6A,Q6B,Q6C,Q6E,Q94,Q93A,Q100,Q90A,Q90B,Q90C,Q90D,Q90E,Q90F,food_insecurity_label,location_type,is_food_insecure
GHA0001,274.0,2.0,49.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,9.0,9.0,9.0,2.0,Several times,Rural,1
GHA0002,274.0,2.0,37.0,2.0,1.0,2.0,3.0,4.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,Several times,Rural,1
GHA0003,262.0,1.0,62.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,Never,Urban,0
GHA0004,262.0,1.0,48.0,0.0,0.0,0.0,1.0,3.0,3.0,2.0,1.0,1.0,0.0,0.0,2.0,2.0,Never,Urban,0
GHA0005,262.0,1.0,53.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,Never,Urban,0
GHA0006,263.0,1.0,48.0,0.0,1.0,0.0,0.0,5.0,3.0,2.0,2.0,2.0,0.0,1.0,1.0,2.0,Never,Urban,0
GHA0007,262.0,1.0,27.0,2.0,0.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,Several times,Urban,1
GHA0008,264.0,2.0,60.0,3.0,2.0,0.0,3.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,Many times,Rural,1
GHA0009,264.0,2.0,37.0,0.0,1.0,0.0,0.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,Never,Rural,0
GHA0010,264.0,2.0,27.0,3.0,0.0,2.0,2.0,5.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,Many times,Rural,1
GHA0011,263.0,1.0,28.0,0.0,0.0,0.0,2.0,4.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,Never,Urban,0
GHA0012,275.0,1.0,35.0,0.0,0.0,0.0,0.0,6.0,1.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,Never,Urban,0
GHA0013,275.0,1.0,63.0,2.0,1.0,3.0,3.0,3.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,Several times,Urban,1
GHA0014,260.0,2.0,62.0,1.0,3.0,1.0,3.0,4.0,3.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,Once/Twice,Rural,1
GHA0015,260.0,2.0,23.0,4.0,4.0,4.0,4.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0,9.0,2.0,Always,Rural,1
GHA0016,267.0,2.0,58.0,2.0,2.0,1.0,2.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,2.0,Several times,Rural,1
GHA0017,267.0,2.0,31.0,0.0,4.0,2.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,Never,Rural,0
GHA0018,267.0,2.0,56.0,4.0,2.0,4.0,4.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,Always,Rural,1
GHA0019,274.0,2.0,53.0,3.0,1.0,2.0,3.0,0.0,1.0,2.0,1.0,1.0,2.0,9.0,9.0,2.0,Many times,Rural,1
GHA0020,263.0,1.0,23.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,Several times,Urban,1
GHA0021,264.0,2.0,23.0,0.0,2.0,0.0,1.0,4.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,2.0,Never,Rural,0
GHA0022,263.0,1.0,35.0,2.0,2.0,1.0,2.0,8.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,Several times,Urban,1
GHA0023,261.0,2.0,35.0,3.0,3.0,0.0,4.0,4.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,Many times,Rural,1
GHA0024,267.0,2.0,23.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,Never,Rural,0
GHA0025,266.0,1.0,65.0,0.0,0.0,3.0,1.0,3.0,3.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,Never,Urban,0
GHA0026,267.0,2.0,36.0,2.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,Several times,Rural,1
GHA0027,267.0,2.0,18.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,2.0,Never,Rural,0
GHA0028,266.0,1.0,20.0,0.0,0.0,0.0,2.0,3.0,1.0,1.0,2.0,2.0,0.0,2.0,2.0,1.0,Never,Urban,0
GHA0029,266.0,1.0,38.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,Many times,Urban,1
GHA0030,266.0,1.0,38.0,0.0,0.0,0.0,0.0,7.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,Never,Urban,0
GHA0031,261.0,2.0,47.0,0.0,0.0,3.0,3.0,5.0,3.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,Never,Rural,0
GHA0032,274.0,2.0,27.0,0.0,0.0,0.0,0.0,5.0,3.0,1.0,2.0,0.0,2.0,0.0,2.0,2.0,Never,Rural,0
GHA0033,267.0,2.0,40.0,0.0,4.0,2.0,2.0,9.0,3.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,Never,Rural,0
GHA0034,262.0,1.0,19.0,0.0,0.0,0.0,1.0,4.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,Never,Urban,0
GHA0035,264.0,2.0,23.0,2.0,3.0,0.0,0.0,5.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,Several times,Rural,1
GHA0036,262.0,1.0,66.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,Never,Urban,0
GHA0037,264.0,2.0,66.0,0.0,0.0,0.0,0.0,6.0,3.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,Never,Rural,0
GHA0038,275.0,1.0,58.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,2.0,0.0,1.0,2.0,Never,Urban,0
GHA0039,264.0,2.0,42.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,Never,Rural,0
GHA0040,263.0,2.0,70.0,3.0,2.0,3.0,3.0,2.0,0.0,1.0,2.0,1.0,1.0,9.0,9.0,2.0,Many times,Rural,1
GHA0041,271.0,1.0,64.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,Once/Twice,Urban,1
GHA0042,271.0,1.0,21.0,2.0,0.0,0.0,3.0,3.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,Several times,Urban,1
GHA0043,263.0,2.0,20.0,3.0,2.0,2.0,2.0,4.0,1.0,1.0,2.0,2.0,2.0,1.0,0.0,1.0,Many times,Rural,1
GHA0044,263.0,2.0,27.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,Once/Twice,Rural,1
GHA0045,267.0,2.0,26.0,1.0,2.0,1.0,1.0,6.0,3.0,1.0,2.0,2.0,0.0,2.0,0.0,2.0,Once/Twice,Rural,1
GHA0046,274.0,2.0,31.0,1.0,2.0,2.0,3.0,5.0,1.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,Once/Twice,Rural,1
GHA0047,267.0,2.0,28.0,0.0,1.0,0.0,2.0,6.0,3.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,Never,Rural,0
GHA0048,263.0,2.0,28.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,Never,Rural,0
GHA0049,263.0,1.0,38.0,2.0,2.0,2.0,4.0,5.0,2.0,1.0,2.0,2.0,0.0,2.0,2.0,2.0,Several times,Urban,1
GHA0050,262.0,1.0,32.0,4.0,4.0,4.0,4.0,8.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,Always,Urban,1
GHA0051,260.0,2.0,48.0,0.0,0.0,0.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,Never,Rural,0
GHA0052,263.0,1.0,28.0,0.0,0.0,1.0,1.0,5.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,Never,Urban,0
GHA0053,260.0,2.0,61.0,0.0,1.0,1.0,3.0,1.0,3.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,Never,Rural,0
GHA0054,261.0,2.0,39.0,3.0,3.0,0.0,4.0,5.0,1.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,Many times,Rural,1
GHA0055,263.0,1.0,50.0,3.0,3.0,1.0,3.0,6.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,Many times,Urban,1
GHA0056,264.0,2.0,32.0,0.0,0.0,0.0,2.0,4.0,2.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,Never,Rural,0
GHA0057,267.0,2.0,38.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,Never,Rural,0
GHA0058,266.0,1.0,45.0,2.0,1.0,0.0,3.0,4.0,2.0,1.0,1.0,2.0,0.0,0.0,9.0,2.0,Several times,Urban,1
GHA0059,266.0,1.0,27.0,1.0,1.0,1.0,2.0,7.0,1.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,Once/Twice,Urban,1
GHA0060,267.0,2.0,20.0,0.0,1.0,0.0,1.0,4.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,Never,Rural,0
GHA0061,261.0,2.0,31.0,0.0,1.0,1.0,1.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,Never,Rural,0
GHA0062,274.0,2.0,28.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,1.0,1.0,0.0,1.0,2.0,Never,Rural,0
GHA0063,263.0,2.0,21.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,Never,Rural,0
GHA0064,262.0,1.0,38.0,2.0,0.0,0.0,2.0,3.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,Several times,Urban,1
GHA0065,267.0,2.0,35.0,1.0,2.0,0.0,4.0,5.0,3.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,Once/Twice,Rural,1
GHA0066,271.0,1.0,32.0,1.0,2.0,0.0,3.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,Once/Twice,Urban,1
GHA0067,275.0,1.0,29.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,2.0,2.0,1.0,0.0,1.0,2.0,Never,Urban,0
GHA0068,267.0,2.0,31.0,2.0,2.0,2.0,4.0,1.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,Several times,Rural,1
GHA0069,267.0,2.0,24.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,Several times,Rural,1
GHA0070,263.0,1.0,56.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,Never,Urban,0
GHA0071,274.0,2.0,40.0,3.0,1.0,1.0,4.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,Many times,Rural,1
GHA0072,263.0,2.0,42.0,3.0,3.0,0.0,4.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,Many times,Rural,1
GHA0073,266.0,1.0,23.0,0.0,0.0,0.0,2.0,5.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,2.0,Never,Urban,0
GHA0074,267.0,2.0,44.0,0.0,2.0,0.0,3.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,Never,Rural,0
GHA0075,271.0,1.0,33.0,3.0,2.0,0.0,2.0,4.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,Many times,Urban,1
GHA0076,263.0,2.0,20.0,0.0,2.0,2.0,0.0,5.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,Never,Rural,0
GHA0077,271.0,1.0,31.0,0.0,0.0,0.0,4.0,5.0,0.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,Never,Urban,0
GHA0078,271.0,1.0,48.0,4.0,2.0,2.0,2.0,7.0,0.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,Always,Urban,1
GHA0079,263.0,2.0,27.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,Never,Rural,0
GHA0080,271.0,1.0,60.0,2.0,3.0,1.0,2.0,8.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,Several times,Urban,1
GHA0081,267.0,2.0,30.0,3.0,3.0,2.0,4.0,6.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,2.0,Many times,Rural,1
GHA0082,266.0,1.0,18.0,0.0,1.0,0.0,2.0,2.0,1.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,Never,Urban,0
GHA0083,274.0,2.0,28.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,2.0,1.0,2.0,0.0,2.0,2.0,Never,Rural,0
GHA0084,260.0,2.0,30.0,0.0,2.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Never,Rural,0
GHA0085,271.0,1.0,25.0,0.0,0.0,0.0,2.0,5.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,Never,Urban,0
GHA0086,261.0,2.0,24.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,Never,Rural,0
GHA0087,261.0,2.0,33.0,0.0,3.0,2.0,3.0,8.0,3.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,Never,Rural,0
GHA0088,270.0,2.0,30.0,1.0,1.0,3.0,4.0,4.0,1.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,Once/Twice,Rural,1
GHA0089,270.0,2.0,53.0,0.0,2.0,3.0,3.0,5.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,2.0,Never,Rural,0
GHA0090,275.0,1.0,40.0,0.0,0.0,0.0,0.0,5.0,3.0,1.0,2.0,2.0,2.0,0.0,0.0,2.0,Never,Urban,0
GHA0091,270.0,2.0,20.0,1.0,1.0,2.0,3.0,5.0,2.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,Once/Twice,Rural,1
GHA0092,260.0,2.0,58.0,0.0,3.0,3.0,4.0,4.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,Never,Rural,0
GHA0093,260.0,2.0,31.0,4.0,4.0,4.0,4.0,98.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,2.0,Always,Rural,1
GHA0094,271.0,1.0,29.0,0.0,0.0,0.0,4.0,9.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,Never,Urban,0
GHA0095,271.0,1.0,36.0,3.0,3.0,2.0,2.0,8.0,3.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,Many times,Urban,1
GHA0096,264.0,1.0,29.0,1.0,1.0,0.0,1.0,6.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,Once/Twice,Urban,1
GHA0097,264.0,1.0,24.0,0.0,0.0,1.0,2.0,5.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,Never,Urban,0
GHA0098,271.0,1.0,31.0,0.0,2.0,0.0,1.0,6.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,Never,Urban,0
GHA0099,264.0,1.0,31.0,0.0,0.0,0.0,0.0,6.0,3.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,Never,Urban,0
GHA0100,264.0,1.0,45.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,Never,Urban,0
GHA0101,262.0,1.0,19.0,0.0,0.0,4.0,3.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,Never,Urban,0
GHA0102,262.0,1.0,23.0,0.0,0.0,1.0,2.0,5.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,Never,Urban,0
GHA0103,274.0,1.0,76.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,2.0,2.0,1.0,1.0,9.0,2.0,Never,Urban,0
GHA0104,270.0,2.0,27.0,2.0,2.0,0.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,Several times,Rural,1
GHA0105,271.0,1.0,38.0,0.0,3.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,0.0,9.0,1.0,Never,Urban,0
GHA0106,261.0,2.0,59.0,0.0,2.0,1.0,2.0,5.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,Never,Rural,0
GHA0107,262.0,1.0,18.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,2.0,Never,Urban,0
GHA0108,270.0,2.0,23.0,2.0,2.0,3.0,4.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,Several times,Rural,1
GHA0109,263.0,2.0,27.0,1.0,2.0,1.0,1.0,8.0,2.0,1.0,2.0,2.0,0.0,2.0,2.0,2.0,Once/Twice,Rural,1
GHA0110,263.0,2.0,32.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,Never,Rural,0
GHA0111,261.0,2.0,21.0,1.0,0.0,0.0,3.0,5.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,Once/Twice,Rural,1
GHA0112,274.0,1.0,32.0,3.0,1.0,2.0,2.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Many times,Urban,1
GHA0113,263.0,2.0,45.0,2.0,2.0,1.0,3.0,5.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,Several times,Rural,1
GHA0114,263.0,2.0,44.0,0.0,0.0,0.0,1.0,4.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,Never,Rural,0
GHA0115,263.0,1.0,35.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,Never,Urban,0
GHA0116,275.0,1.0,40.0,0.0,0.0,0.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,Never,Urban,0
GHA0117,263.0,1.0,35.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,Several times,Urban,1
GHA0118,271.0,1.0,61.0,1.0,2.0,0.0,0.0,7.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,Once/Twice,Urban,1
GHA0119,263.0,1.0,42.0,0.0,0.0,0.0,1.0,5.0,3.0,1.0,2.0,2.0,0.0,1.0,2.0,2.0,Never,Urban,0
GHA0120,262.0,1.0,34.0,0.0,0.0,0.0,2.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,Never,Urban,0
GHA0121,263.0,1.0,42.0,1.0,3.0,0.0,1.0,4.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,Once/Twice,Urban,1
GHA0122,271.0,1.0,41.0,2.0,2.0,2.0,2.0,8.0,3.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,Several times,Urban,1
GHA0123,270.0,2.0,28.0,2.0,1.0,0.0,4.0,3.0,3.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,Several times,Rural,1
GHA0124,264.0,1.0,48.0,0.0,0.0,0.0,0.0,5.0,3.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,Never,Urban,0
GHA0125,267.0,2.0,23.0,3.0,0.0,2.0,4.0,4.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,Many times,Rural,1
GHA0126,271.0,1.0,35.0,0.0,0.0,0.0,0.0,6.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,Never,Urban,0
GHA0127,260.0,2.0,29.0,0.0,1.0,1.0,3.0,5.0,3.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,Never,Rural,0
GHA0128,264.0,1.0,42.0,0.0,0.0,0.0,0.0,8.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,Never,Urban,0
GHA0129,264.0,1.0,32.0,1.0,1.0,1.0,0.0,8.0,3.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,Once/Twice,Urban,1
GHA0130,267.0,2.0,56.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,Never,Rural,0
GHA0131,275.0,1.0,43.0,0.0,0.0,1.0,3.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,Never,Urban,0
GHA0132,267.0,2.0,73.0,1.0,0.0,2.0,1.0,5.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,Once/Twice,Rural,1
GHA0133,264.0,1.0,37.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,2.0,Several times,Urban,1
GHA0134,266.0,2.0,52.0,1.0,2.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,Once/Twice,Rural,1
GHA0135,266.0,2.0,35.0,0.0,2.0,0.0,0.0,8.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,Never,Rural,0
GHA0136,266.0,2.0,45.0,1.0,3.0,0.0,2.0,6.0,3.0,1.0,2.0,2.0,2.0,2.0,9.0,2.0,Once/Twice,Rural,1
GHA0137,267.0,2.0,60.0,4.0,4.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,Always,Rural,1
GHA0138,267.0,2.0,25.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,Never,Rural,0
GHA0139,267.0,2.0,19.0,3.0,0.0,3.0,4.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,Many times,Rural,1
GHA0140,267.0,2.0,52.0,0.0,0.0,0.0,2.0,4.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,Never,Rural,0
GHA0141,266.0,2.0,42.0,1.0,3.0,0.0,2.0,6.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,Once/Twice,Rural,1
GHA0142,267.0,2.0,50.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,Never,Rural,0
GHA0143,262.0,1.0,25.0,0.0,0.0,0.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,Never,Urban,0
GHA0144,270.0,2.0,19.0,0.0,0.0,0.0,3.0,4.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,Never,Rural,0
GHA0145,263.0,2.0,49.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,Never,Rural,0
GHA0146,275.0,1.0,27.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,2.0,Once/Twice,Urban,1
GHA0147,274.0,1.0,20.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,2.0,Never,Urban,0
GHA0148,262.0,1.0,28.0,0.0,0.0,3.0,3.0,8.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,Never,Urban,0
GHA0149,274.0,1.0,33.0,1.0,1.0,2.0,2.0,6.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,Once/Twice,Urban,1
GHA0150,263.0,2.0,39.0,0.0,2.0,2.0,1.0,5.0,3.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,Never,Rural,0
GHA0151,263.0,2.0,28.0,2.0,2.0,1.0,2.0,5.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,Several times,Rural,1
GHA0152,263.0,1.0,32.0,0.0,0.0,0.0,2.0,6.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,Never,Urban,0
GHA0153,271.0,1.0,22.0,0.0,3.0,0.0,3.0,4.0,3.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,Never,Urban,0
GHA0154,263.0,1.0,51.0,2.0,2.0,2.0,2.0,5.0,3.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,Several times,Urban,1
GHA0155,263.0,2.0,43.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,Never,Rural,0
GHA0156,263.0,1.0,50.0,1.0,2.0,0.0,2.0,4.0,3.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,Once/Twice,Urban,1
GHA0157,267.0,2.0,24.0,2.0,0.0,0.0,2.0,7.0,3.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,Several times,Rural,1
GHA0158,262.0,1.0,26.0,0.0,0.0,0.0,0.0,5.0,3.0,2.0,2.0,1.0,0.0,0.0,2.0,2.0,Never,Urban,0
GHA0159,260.0,2.0,43.0,3.0,3.0,3.0,4.0,0.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,2.0,Many times,Rural,1
GHA0160,260.0,2.0,45.0,3.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,0.0,1.0,0.0,2.0,2.0,Many times,Rural,1
GHA0161,260.0,2.0,54.0,1.0,3.0,1.0,2.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,Once/Twice,Rural,1
GHA0162,267.0,2.0,47.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,Never,Rural,0
GHA0163,266.0,2.0,35.0,2.0,2.0,0.0,1.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,Several times,Rural,1
GHA0164,270.0,2.0,25.0,1.0,1.0,2.0,4.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,Once/Twice,Rural,1
GHA0165,267.0,2.0,27.0,3.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,0.0,1.0,2.0,0.0,Many times,Rural,1
GHA0166,267.0,2.0,35.0,0.0,0.0,0.0,1.0,5.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,Never,Rural,0
GHA0167,267.0,2.0,22.0,1.0,1.0,1.0,2.0,5.0,3.0,1.0,2.0,1.0,2.0,0.0,0.0,2.0,Once/Twice,Rural,1
GHA0168,262.0,1.0,42.0,2.0,0.0,1.0,1.0,3.0,0.0,2.0,2.0,2.0,0.0,1.0,1.0,2.0,Several times,Urban,1
GHA0169,267.0,2.0,40.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,Never,Rural,0
GHA0170,266.0,2.0,31.0,1.0,3.0,0.0,2.0,5.0,3.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,Once/Twice,Rural,1
GHA0171,266.0,2.0,46.0,0.0,4.0,0.0,3.0,4.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,Never,Rural,0
GHA0172,266.0,2.0,34.0,0.0,3.0,0.0,2.0,3.0,0.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,Never,Rural,0
GHA0173,267.0,2.0,48.0,3.0,2.0,1.0,1.0,4.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,2.0,Many times,Rural,1
